"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","598.160973461569","629.301934362907","611.93428653754","609.474578006799","579.811501752978","557.921711983876","535.252462233314","572.356931759296","563.095743153237","555.660592185778","540.50294482787","514.415934308796","510.121370563352","498.126082195737","512.068237838716","503.575226712691","502.598458910769","510.150590275644","508.213295047256","528.686621968086","525.10025781515","511.237051723732","512.27056633471","502.782507593994","490.614188847587","493.841366728907","494.1744842075","483.20271558976","496.301769424057","497.963029591388","506.478433077974","515.403456402902","539.446103815769","539.758607730334","509.923439711913","542.108669179197","561.550105512918","589.420121739212","620.638746306488","632.248118916752","638.642145744456","689.050937615492","654.905480599323","","",
"Albania","ALB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","785.161525934329","865.59248120703","762.725361728214","776.934748974948","826.952081040206","890.953359858712","923.728867504315","1010.81922139014","864.199459705589","1149.53609603604","989.200148492914","966.683283781289","1000.12201296783","1018.26314225619","916.555190602146","963.927169506077","921.893044018284","927.744518727469","896.437762376845","813.255695500012","572.781843950789","418.286629757142","412.378880465233","441.249295409311","417.034843013203","447.848870261137","384.594958328053","417.521327907995","561.801132149031","570.845447449958","582.591572437245","645.08015378514","648.168387059418","715.414483080102","719.584378082987","689.300452089809","679.861765101008","697.00411968321","722.583867090188","724.562919388497","770.340266732765","685.956403023605","800.568725549358","","",
"Arab World","ARB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","407.32452378753","411.951769623603","442.402409796168","459.362434137827","483.850351648823","524.814769522368","561.243583009014","626.712126363773","728.208295959857","791.405742442845","884.064024942639","955.196030059963","998.460527232665","988.849134456303","1011.4735203392","1031.39546216118","1086.31128032926","1147.94831136575","1174.44629559798","1076.57881052166","1093.39449784902","1148.140953786","1180.12672602632","1211.00325361163","1264.18767824044","1294.02968761385","1306.83962551297","1299.82412992847","1284.26934695651","1294.93310312934","1344.77872073962","1395.88351005358","1392.25028733814","1441.03751797791","1490.97163234094","1543.98559444924","1578.88069249988","1663.47582615055","1712.68881065666","1774.15794581996","1736.99845522983","1839.01294820595","1814.06353407086","","",
"United Arab Emirates","ARE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","3677.7147841256","3243.46975489788","3408.71368752661","2967.59361696478","3646.7506799808","3956.03736671109","5682.19088634002","5765.45273473098","6005.86323995501","7112.66742657523","8115.41860456606","8344.4496524316","7645.78242243005","9433.46445068962","10157.7790234688","10893.911284347","11389.1326545055","10994.9228702575","11965.7721989794","11274.9326785385","12276.8162074859","11073.1986009012","11050.3204388628","11640.055917912","11779.7699081607","12674.1421049176","11897.2665130509","11727.9452916668","11306.781666105","11128.8214789674","11613.067670645","11958.4774576761","11094.9697142532","10652.9431367889","9696.48320294442","8927.38803249888","8343.10876690904","8437.62186343411","7780.35547172427","7414.65856161263","7361.14658257012","7552.5205019982","7691.01373919273","","",
"Argentina","ARG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","1380.92122764579","1379.81886740683","1411.49678099587","1415.68300889411","1378.54699289043","1404.74472463108","1420.56765898271","1426.9192076089","1484.56603742234","1487.61702574147","1430.43998384774","1416.53992487891","1419.93011718759","1447.81968006518","1360.66550349618","1421.83488077126","1477.07652885149","1505.19656624527","1441.482354752","1407.56437417468","1430.74219616122","1484.05891770082","1469.01111878803","1543.33468545187","1545.59312181592","1582.72825310153","1614.33824027009","1650.78570806161","1660.49275085657","1661.60550753448","1563.12609024423","1502.22488095167","1589.54109916672","1717.95722550296","1710.82337426806","1841.98580592157","1846.93675638893","1924.37262671903","1852.32314478318","1909.7257044784","1918.5063785877","1906.62981149596","1894.6178719302","","",
"Armenia","ARM","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2174.534057232","2313.52237755388","1197.44907735823","650.666696738823","419.020633488179","510.248441520204","561.23903983866","593.38543598844","609.159198421566","592.620773024934","654.920616963439","655.464510875035","615.761298141373","652.484504778654","692.256265899797","833.292591471009","852.249429660834","954.730353597265","1009.76124938614","879.930872375517","837.929593966045","914.953719427059","997.399221512393","969.309790280838","","",
"American Samoa","ASM","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
