"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Surface area (sq. km)","AG.SRF.TOTL.K2","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180",
"Andorra","AND","Surface area (sq. km)","AG.SRF.TOTL.K2","","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470",
"Afghanistan","AFG","Surface area (sq. km)","AG.SRF.TOTL.K2","","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860",
"Angola","AGO","Surface area (sq. km)","AG.SRF.TOTL.K2","","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700",
"Albania","ALB","Surface area (sq. km)","AG.SRF.TOTL.K2","","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750",
"Arab World","ARB","Surface area (sq. km)","AG.SRF.TOTL.K2","","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781751","13781771","13781771","13781771","13781771","13781771","13781771","13781771","13781771","13781771","13781771","13781771","13781781","13781791","13781801","13781801","13781811","13781821","13779281","13779283","13152835.5","13152838.5","13152838.5","13152838.5","13152838.5",
"United Arab Emirates","ARE","Surface area (sq. km)","AG.SRF.TOTL.K2","","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600","83600",
"Argentina","ARG","Surface area (sq. km)","AG.SRF.TOTL.K2","","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400",
"Armenia","ARM","Surface area (sq. km)","AG.SRF.TOTL.K2","","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740",
"American Samoa","ASM","Surface area (sq. km)","AG.SRF.TOTL.K2","","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200",
